id,"code",location_id,county_id
38772,"36521",NULL,49
38773,"36522",NULL,49
38774,"36523",NULL,49
38775,"36524",NULL,13
38776,"36525",NULL,49
38777,"36526",NULL,2
38778,"36527",NULL,2
38779,"36528",NULL,49
38780,"36529",NULL,65
38781,"36530",NULL,2
38782,"36532",NULL,2
38783,"36533",NULL,2
38784,"36535",NULL,2
38785,"36536",NULL,2
38786,"36538",NULL,65
38787,"36539",NULL,65
38788,"36540",NULL,13
38789,"36541",NULL,49
38790,"36542",NULL,2
38791,"36543",NULL,27
38792,"36544",NULL,49
38793,"36545",NULL,13
38794,"36547",NULL,2
38795,"36548",NULL,65
38796,"36549",NULL,2
38797,"36550",NULL,2
38798,"36551",NULL,2
38799,"36553",NULL,65
38800,"36555",NULL,2
38801,"36556",NULL,65
38802,"36558",NULL,65
38803,"36559",NULL,2
38804,"36560",NULL,49
38805,"36561",NULL,2
38806,"36562",NULL,2
38807,"36564",NULL,2
38808,"36567",NULL,2
38809,"36568",NULL,49
38810,"36569",NULL,65
38811,"36571",NULL,49
38812,"36572",NULL,49
38813,"36574",NULL,2
38814,"36575",NULL,49
38815,"36576",NULL,2
38816,"36577",NULL,2
38817,"36578",NULL,2
38818,"36579",NULL,2
38819,"36580",NULL,2
38820,"36581",NULL,65
38821,"36582",NULL,49
38822,"36583",NULL,65
38823,"36584",NULL,65
38824,"36585",NULL,65
38825,"36587",NULL,49
38826,"36590",NULL,49
38827,"36601",NULL,49
38828,"36602",NULL,49
38829,"36603",NULL,49
38830,"36604",NULL,49
38831,"36605",NULL,49
38832,"36606",NULL,49
38833,"36607",NULL,49
38834,"36608",NULL,49
38835,"36609",NULL,49
38836,"36610",NULL,49
38837,"36611",NULL,49
38838,"36612",NULL,49
38839,"36613",NULL,49
38840,"36615",NULL,49
38841,"36616",NULL,49
38842,"36617",NULL,49
38843,"36618",NULL,49
38844,"36619",NULL,49
38845,"36621",NULL,49
38846,"36622",NULL,49
38847,"36625",NULL,49
38848,"36628",NULL,49
38849,"36630",NULL,49
38850,"36633",NULL,49
38851,"36640",NULL,49
38852,"36641",NULL,49
38853,"36644",NULL,49
38854,"36652",NULL,49
38855,"36660",NULL,49
38856,"36663",NULL,49
38857,"36670",NULL,49
38858,"36671",NULL,49
38859,"36675",NULL,49
38860,"36685",NULL,49
38861,"36688",NULL,49
38862,"36689",NULL,49
38863,"36690",NULL,49
38864,"36691",NULL,49
38865,"36693",NULL,49
38866,"36695",NULL,49
38867,"36701",NULL,24
38868,"36702",NULL,24
38869,"36703",NULL,24
38870,"36720",NULL,66
38871,"36721",NULL,66
38872,"36722",NULL,66
38873,"36723",NULL,66
38874,"36726",NULL,66
38875,"36727",NULL,13
38876,"36728",NULL,66
38877,"36732",NULL,46
38878,"36736",NULL,46
38879,"36738",NULL,46
38880,"36740",NULL,32
38881,"36741",NULL,66
38882,"36742",NULL,46
38883,"36744",NULL,33
38884,"36745",NULL,46
38885,"36748",NULL,46
38886,"36749",NULL,1
38887,"36750",NULL,11
38888,"36751",NULL,66
38889,"36752",NULL,43
38890,"36753",NULL,66
38891,"36754",NULL,46
38892,"36756",NULL,53
38893,"36758",NULL,24
38894,"36759",NULL,24
38895,"36761",NULL,24
38896,"36762",NULL,13
38897,"36763",NULL,46
38898,"36764",NULL,46
38899,"36765",NULL,33
38900,"36766",NULL,66
38901,"36767",NULL,24
38902,"36768",NULL,66
38903,"36769",NULL,66
38904,"36773",NULL,24
38905,"36775",NULL,24
38906,"36776",NULL,33
38907,"36782",NULL,46
38908,"36783",NULL,46
38909,"36784",NULL,13
38910,"36785",NULL,43
38911,"36786",NULL,53
38912,"36790",NULL,11
38913,"36792",NULL,4
38914,"36793",NULL,4
38915,"36801",NULL,41
38916,"36802",NULL,41
38917,"36803",NULL,41
38918,"36804",NULL,41
38919,"36830",NULL,41
38920,"36831",NULL,41
38921,"36832",NULL,41
38922,"36849",NULL,41
38923,"36850",NULL,62
38924,"36851",NULL,57
38925,"36852",NULL,9
38926,"36853",NULL,62
38927,"36854",NULL,9
38928,"36855",NULL,9
38929,"36856",NULL,57
38930,"36858",NULL,57
38931,"36859",NULL,57
38932,"36860",NULL,57
38933,"36861",NULL,62
38934,"36862",NULL,9
38935,"36863",NULL,9
38936,"36865",NULL,41
38937,"36866",NULL,44
38938,"36867",NULL,57
38939,"36868",NULL,57
38940,"36869",NULL,57
38941,"36870",NULL,41
38942,"36871",NULL,57
38943,"36872",NULL,9
38944,"36874",NULL,41
38945,"36875",NULL,57
38946,"36877",NULL,41
38947,"36879",NULL,41
38948,"36901",NULL,60
38949,"36904",NULL,12
38950,"36907",NULL,60
38951,"36908",NULL,12
38952,"36910",NULL,12
38953,"36912",NULL,12
38954,"36913",NULL,12
38955,"36915",NULL,12
38956,"36916",NULL,12
38957,"36919",NULL,12
38958,"36921",NULL,12
38959,"36922",NULL,60
38960,"36925",NULL,60
38961,"99501",NULL,70
38962,"99502",NULL,70
38963,"99503",NULL,70
38964,"99504",NULL,70
38965,"99505",NULL,70
38966,"99506",NULL,70
38967,"99507",NULL,70
38968,"99508",NULL,70
38969,"99509",NULL,70
38970,"99510",NULL,70
38971,"99511",NULL,70
38972,"99513",NULL,70
38973,"99514",NULL,70
38974,"99515",NULL,70
38975,"99516",NULL,70
38976,"99517",NULL,70
38977,"99518",NULL,70
38978,"99519",NULL,70
38979,"99520",NULL,70
38980,"99521",NULL,70
38981,"99522",NULL,70
38982,"99523",NULL,70
38983,"99524",NULL,70
38984,"99529",NULL,70
38985,"99530",NULL,70
38986,"99540",NULL,70
38987,"99548",NULL,81
38988,"99549",NULL,81
38989,"99550",NULL,80
38990,"99553",NULL,68
38991,"99556",NULL,78
38992,"99564",NULL,81
38993,"99565",NULL,81
38994,"99567",NULL,70
38995,"99568",NULL,78
38996,"99571",NULL,68
38997,"99572",NULL,78
38998,"99577",NULL,70
38999,"99579",NULL,81
39000,"99583",NULL,68
39001,"99587",NULL,70
39002,"99599",NULL,70
39003,"99603",NULL,78
39004,"99605",NULL,78
